day,AVG(arrival_delay)
1,5.352495543672014
2,9.838903743315509
3,25.461860465116278
4,31.975011015295525
5,18.81131019036954
6,21.299273998386663
7,11.955428646448732
8,13.316482498511215
9,12.25561145510836
10,1.9224748723018619
11,10.187042332101262
12,18.563997662185855
13,3.2200174883971213
