airline,"AVG(is_delayed)
"
DL,0.3560921248142645
AS,0.3700230047779154
VX,0.38760452533202167
US,0.45137015476359504
B6,0.47850386930352534
WN,0.5122746497176476
HA,0.5134935304990758
EV,0.5221075049770822
OO,0.5297271190533688
UA,0.5359801488833746
AA,0.5366489361702128
NK,0.5816354251562076
MQ,0.6305787730641854
F9,0.6469210174029452
